model,scope,rank,threshold,report_images,coverage,full_accuracy,full_precision,full_recall,full_f1,full_micro_accuracy,full_theilU,tail_accuracy,tail_precision,tail_recall,tail_f1,tail_classes,tail_truth_images,tail_accepted_predictions
v2,zero,species,0.0,52788,1.0,0.6856229575537315,0.2795792585422393,0.6856229575537315,0.2619881841444525,0.6871258619383193,0.9268446802176634,0.7950271126103922,0.8372379328631292,0.7950271126103922,0.7878300075502476,308,44643,39243
v2,zero,genus,0.0,52788,1.0,0.7893807671430488,0.3234152967366764,0.7893807671430488,0.32128858585759745,0.792225505796772,0.9293295014713818,0.8206876060779148,0.8201078560326222,0.8206876060779148,0.7941995832133607,242,52567,44953
v2,zero,family,0.0,52788,1.0,0.8435038466784595,0.2610923881260793,0.8435038466784595,0.26968398140672784,0.9454610896415853,0.8669636504107465,0.8700294236802284,0.8073706420034539,0.8700294236802284,0.8237730542270192,20,52783,52241
v2,optimized,species,0.7484260499477386,52788,0.6973175721754944,0.8465208024160925,0.6381169943670084,0.5418132969389368,0.4466755276813756,0.8340124966041836,0.9268446802176634,0.9521428623131191,0.950834091298276,0.6967497218946193,0.7799317319854288,272,42778,31024
v2,optimized,genus,0.8759860098361969,52788,0.6981321512464954,0.9533632911945014,0.784792371905105,0.6176629588211429,0.5868633065886133,0.9258405014517136,0.9293295014713818,0.9754975181801082,0.96822735165948,0.6927141276824689,0.7874852435844386,215,46868,34160
v2,optimized,family,0.9553309082984924,52788,0.7744373721300295,0.9963653352691595,0.841348645086206,0.6466603488658192,0.6545226053114057,0.9986057092536875,0.8669636504107465,0.9957914408379742,0.9859850593239553,0.6876576692748175,0.802095261069409,19,52770,40869
v2,coverage_70,species,0.7434713244438171,52788,0.6999886337804047,0.8482344975724038,0.6389619346119313,0.5468981617462098,0.44937087163076467,0.8329409217612513,0.9268446802176634,0.9525904825539635,0.9530383920489972,0.701565632554905,0.7839107916744207,270,42705,31043
v2,coverage_70,genus,0.8737562894821167,52788,0.6999886337804047,0.9531039745578903,0.7845297024249248,0.6206686411587036,0.5893305682633164,0.9254418013044302,0.9293295014713818,0.9746620588690518,0.9765518838609734,0.7007712382965899,0.7966054093358439,210,46789,34167
v2,coverage_70,family,0.98415607213974,52788,0.6999886337804047,0.9984960251371973,0.9374379812137319,0.5742612899561486,0.6694678519956686,0.9992963654569565,0.8669636504107465,0.9982585554220179,0.9900565035745176,0.6040652862222203,0.7393484528820418,19,52770,36944
v2,coverage_80,species,0.5681188702583313,52788,0.7999924225202698,0.8048570287937525,0.5306305982463984,0.6058964372202109,0.4161430255270702,0.7869287236561686,0.9268446802176634,0.9218031816400422,0.9314233316840236,0.7492859566639438,0.808804322038378,282,43436,34074
