variant,preset,scope,rank,images,accuracy,precision,recall,f1,micro_accuracy,theilU,coverage
v2,north_europe,all,species,58640,0.6852063621352951,0.2742104381019442,0.6852063621352951,0.25753800338546967,0.68712482946794,0.9259639612074944,1.0
v2,north_europe,all,genus,58640,0.7890053947525617,0.3188818859364664,0.7890053947525617,0.3169285074452811,0.7922919508867667,0.9286450152404832,1.0
v2,north_europe,all,family,58640,0.8440271040813301,0.26007435892237385,0.8440271040813301,0.2691037692533918,0.9449351978171896,0.865726913911594,1.0
v2,north_europe,known,species,50598,0.706872966471589,0.27934832747314936,0.706872966471589,0.26468747200295195,0.7963358235503379,0.9284675700829689,1.0
v2,north_europe,known,genus,58639,0.7914633554838781,0.3189462554934523,0.7914633554838781,0.3174198331740771,0.7923054622350313,0.9286569914847851,1.0
v2,north_europe,known,family,58640,0.8440271040813301,0.26007435892237385,0.8440271040813301,0.2691037692533918,0.9449351978171896,0.865726913911594,1.0
v2,europe,all,species,58640,0.6604260262269301,0.220093475997043,0.6604260262269301,0.19998360830548284,0.669594133697135,0.9298644970123321,1.0
v2,europe,all,genus,58640,0.7728971632770847,0.26145460355851485,0.7728971632770847,0.25527668172822016,0.7764495225102319,0.9304037751304223,1.0
v2,europe,all,family,58640,0.8353711166095457,0.24311183116521895,0.8353711166095457,0.2512650593074731,0.9423090040927694,0.858730608498533,1.0
v2,europe,known,species,50598,0.6813090626293627,0.22455003199982063,0.6813090626293627,0.20496609487323514,0.7760188149729238,0.9324736395684865,1.0
v2,europe,known,genus,58640,0.7728971632770847,0.26145460355851485,0.7728971632770847,0.25527668172822016,0.7764495225102319,0.9304037751304223,1.0
v2,europe,known,family,58640,0.8353711166095457,0.24311183116521895,0.8353711166095457,0.2512650593074731,0.9423090040927694,0.858730608498533,1.0
v2,full,all,species,58640,0.5720627970250876,0.1100618404698789,0.5720627970250876,0.08990868448899282,0.5936050477489768,0.9424989337241723,1.0
v2,full,all,genus,58640,0.7168278641037727,0.1327201662316462,0.7168278641037727,0.12210675669894289,0.7285129604365621,0.9364867523141058,1.0
v2,full,all,family,58640,0.8069699178640561,0.19682625488877242,0.8069699178640561,0.20522430973656694,0.9265006821282401,0.8320049778627998,1.0
v2,full,known,species,50598,0.5901517392235093,0.11296990063684895,0.5901517392235093,0.09231932892005533,0.6879520929681016,0.9472050810666933,1.0
v2,full,known,genus,58640,0.7168278641037727,0.1327201662316462,0.7168278641037727,0.12210675669894289,0.7285129604365621,0.9364867523141058,1.0
v2,full,known,family,58640,0.8069699178640561,0.19682625488877242,0.8069699178640561,0.20522430973656694,0.9265006821282401,0.8320049778627998,1.0
torch,north_europe,all,species,58640,0.7124755690715492,0.2634270457338045,0.7124755690715492,0.25428952382168735,0.7078274215552524,0.928300449968092,1.0
torch,north_europe,all,genus,58640,0.8053483819748223,0.31893660877341173,0.8053483819748223,0.3204124099108478,0.7936903137789905,0.9269683891259273,1.0
torch,north_europe,all,family,58640,0.8105098078966045,0.27535126159560075,0.8105098078966045,0.2804463369346697,0.9296896316507504,0.848717056770075,1.0
torch,north_europe,known,species,50598,0.7350044408208473,0.2676065928162877,0.7350044408208473,0.2606923077861283,0.8203288667536266,0.9313351406548803,1.0
torch,north_europe,known,genus,58639,0.8078572554389183,0.31896401442542444,0.8078572554389183,0.32088253381207055,0.7937038489742322,0.9269818797430123,1.0
torch,north_europe,known,family,58640,0.8105098078966045,0.27535126159560075,0.8105098078966045,0.2804463369346697,0.9296896316507504,0.848717056770075,1.0
torch,europe,all,species,58640,0.6904573601499047,0.21308377178370788,0.6904573601499047,0.19974835307971503,0.6894270122783083,0.9327685730735747,1.0
torch,europe,all,genus,58640,0.7927569371584571,0.2577674325030351,0.7927569371584571,0.25521877922468866,0.7794167803547067,0.9303872077924281,1.0
torch,europe,all,family,58640,0.8061547662632332,0.2517251364434932,0.8061547662632332,0.2555840946637753,0.9285300136425648,0.8414042795502794,1.0
torch,europe,known,species,50598,0.7122900039491111,0.21751022464426337,0.7122900039491111,0.2052193214139764,0.7990039131981501,0.9362130669456851,1.0
torch,europe,known,genus,58640,0.7927569371584571,0.2577674325030351,0.7927569371584571,0.25521877922468866,0.7794167803547067,0.9303872077924281,1.0
torch,europe,known,family,58640,0.8061547662632332,0.2517251364434932,0.8061547662632332,0.2555840946637753,0.9285300136425648,0.8414042795502794,1.0
torch,full,all,species,58640,0.5800914186056899,0.11941327816354223,0.5800914186056899,0.09729142790239681,0.5842087312414734,0.9380984507134764,1.0
torch,full,all,genus,58640,0.7129759960732965,0.1394431837512301,0.7129759960732965,0.1268067151804599,0.7057128240109141,0.9278203586503335,1.0
torch,full,all,family,58640,0.784246040298466,0.1882961794945315,0.784246040298466,0.19361355430273816,0.9029502046384721,0.8029884477926725,1.0
torch,full,known,species,50598,0.5984342302612058,0.12352484541958572,0.5984342302612058,0.10067516090358233,0.6770623344796237,0.9436338812191157,1.0
torch,full,known,genus,58640,0.7129759960732965,0.1394431837512301,0.7129759960732965,0.1268067151804599,0.7057128240109141,0.9278203586503335,1.0
torch,full,known,family,58640,0.784246040298466,0.1882961794945315,0.784246040298466,0.19361355430273816,0.9029502046384721,0.8029884477926725,1.0
