model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
v2,zero,species,-1,per_model,1221,58640,58640,58640,1.0,0.6852063621352951,0.2742104381019442,0.6852063621352951,0.2575380033854696
torch,zero,species,-1,per_model,1309,58640,58640,58640,1.0,0.7124755690715492,0.26342704573380454,0.7124755690715492,0.25428952382168746
onnx,zero,species,-1,per_model,1309,58640,58640,58640,1.0,0.7123551106111988,0.26343028004895147,0.7123551106111988,0.25432102340018486
torch-tta,zero,species,-1,per_model,1197,58640,58640,58640,1.0,0.7394942213066358,0.3045154257441184,0.7394942213066358,0.29354423320755
onnx-tta,zero,species,-1,per_model,1193,58640,58640,58640,1.0,0.7398002960321982,0.30560509035336597,0.7398002960321982,0.2944363607025529
v2,zero,species,5,per_model,332,49965,43906,58640,1.0,0.7804519827952229,0.8132613221595489,0.7804519827952229,0.767750987431369
v2,zero,species,5,common,323,49771,43793,58640,1.0,0.7893403332535088,0.8209378703317131,0.7893403332535088,0.7761503968624853
torch,zero,species,5,per_model,333,50028,44632,58640,1.0,0.7955403347220553,0.8148667864853998,0.7955403347220553,0.7836676630026933
torch,zero,species,5,common,323,49771,44546,58640,1.0,0.8075564989092358,0.8206160162011501,0.8075564989092358,0.7934690725468392
onnx,zero,species,5,per_model,333,50028,44645,58640,1.0,0.7959521085469712,0.8149813536593272,0.7959521085469712,0.7838792936205538
onnx,zero,species,5,common,323,49771,44559,58640,1.0,0.8079810211497839,0.8207341303464063,0.8079810211497839,0.7936872551962122
torch-tta,zero,species,5,per_model,335,49924,45758,58640,1.0,0.8233452008601031,0.8361083038702228,0.8233452008601031,0.8111919297581796
torch-tta,zero,species,5,common,323,49771,45653,58640,1.0,0.8362560793198487,0.8424552838647043,0.8362560793198487,0.8212732179011305
onnx-tta,zero,species,5,per_model,335,49924,45764,58640,1.0,0.8235925081132986,0.8360886919210944,0.8235925081132986,0.8112089254223764
