model,scope,threshold,family_id,family,truth_images,accepted_predictions,precision,precision_weight,recall,recall_weight,f1,f1_weight
v2,zero,0,3528,Incurvariidae,0,3,0.0,1.0,,0,0.0,1.0
v2,zero,0,3530,Lasiocampidae,728,636,0.9465408805031447,1.0,0.8269230769230769,1.0,0.8826979472140762,1.0
v2,zero,0,3552,Ethmiidae,48,58,0.6896551724137931,1.0,0.8333333333333334,1.0,0.7547169811320755,1.0
v2,zero,0,3553,Gelechiidae,2,119,0.0,1.0,0.0,1.0,0.0,1.0
v2,zero,0,3554,Glyphipterigidae,0,4,0.0,1.0,,0,0.0,1.0
v2,zero,0,3556,Hepialidae,14,23,0.6086956521739131,1.0,1.0,1.0,0.7567567567567568,1.0
v2,zero,0,3563,Endromidae,0,3,0.0,1.0,,0,0.0,1.0
v2,zero,0,4300664,Autostichidae,0,4,0.0,1.0,,0,0.0,1.0
v2,zero,0,4300668,Peleopodidae,24,25,0.88,1.0,0.9166666666666666,1.0,0.8979591836734693,1.0
v2,zero,0,4525436,Praydidae,0,5,0.0,1.0,,0,0.0,1.0
v2,zero,0,4525465,Argyresthiidae,0,7,0.0,1.0,,0,0.0,1.0
v2,zero,0,4527533,Stathmopodidae,2,4,0.5,1.0,1.0,1.0,0.6666666666666666,1.0
v2,zero,0,4528997,Lypusidae,0,2,0.0,1.0,,0,0.0,1.0
v2,zero,0,4532185,Erebidae,15241,14845,0.9810710676995621,1.0,0.9555803424972115,1.0,0.9681579472179751,1.0
v2,zero,0,4538,Adelidae,0,5,0.0,1.0,,0,0.0,1.0
v2,zero,0,4542,Alucitidae,1,16,0.0625,1.0,1.0,1.0,0.11764705882352941,1.0
v2,zero,0,4554,Batrachedridae,0,5,0.0,1.0,,0,0.0,1.0
v2,zero,0,4705755,Depressariidae,0,32,0.0,1.0,,0,0.0,1.0
v2,zero,0,4864,Bedelliidae,0,7,0.0,1.0,,0,0.0,1.0
v2,zero,0,4865,Blastobasidae,0,10,0.0,1.0,,0,0.0,1.0
v2,zero,0,4867,Bucculatricidae,0,2,0.0,1.0,,0,0.0,1.0
v2,zero,0,4870,Choreutidae,0,1,0.0,1.0,,0,0.0,1.0
v2,zero,0,5336,Pyralidae,365,590,0.5779661016949152,1.0,0.9342465753424658,1.0,0.7141361256544502,1.0
v2,zero,0,5338,Roeslerstammiidae,0,1,0.0,1.0,,0,0.0,1.0
v2,zero,0,5340,Sesiidae,0,1,0.0,1.0,,0,0.0,1.0
v2,zero,0,5343,Tortricidae,632,887,0.6617812852311161,1.0,0.9287974683544303,1.0,0.7728768926925609,1.0
v2,zero,0,5345,Ypsolophidae,46,55,0.6909090909090909,1.0,0.8260869565217391,1.0,0.7524752475247525,1.0
v2,zero,0,5473,Lycaenidae,0,1,0.0,1.0,,0,0.0,1.0
v2,zero,0,5474,Limacodidae,475,345,0.991304347826087,1.0,0.72,1.0,0.8341463414634147,1.0
v2,zero,0,5481,Pieridae,0,9,0.0,1.0,,0,0.0,1.0
v2,zero,0,5487,Gracillariidae,0,16,0.0,1.0,,0,0.0,1.0
v2,zero,0,6166,Opostegidae,0,15,0.0,1.0,,0,0.0,1.0
v2,zero,0,6946,Eriocraniidae,0,1,0.0,1.0,,0,0.0,1.0
v2,zero,0,6950,Geometridae,15047,14892,0.9837496642492614,1.0,0.9736160031900046,1.0,0.9786566017569057,1.0
v2,zero,0,6953,Hesperiidae,0,4,0.0,1.0,,0,0.0,1.0
v2,zero,0,6954,Epermeniidae,0,1,0.0,1.0,,0,0.0,1.0
v2,zero,0,7014,Nepticulidae,0,22,0.0,1.0,,0,0.0,1.0
v2,zero,0,7015,Noctuidae,9243,9278,0.9372709635697348,1.0,0.9408200800605864,1.0,0.9390421683494412,1.0
v2,zero,0,7016,Notodontidae,3321,3382,0.9278533412182141,1.0,0.9448961156278229,1.0,0.9362971803669999,1.0
v2,zero,0,7017,Nymphalidae,0,23,0.0,1.0,,0,0.0,1.0
v2,zero,0,7294,Drepanidae,1604,1447,0.972356599861783,1.0,0.8771820448877805,1.0,0.9223205506391349,1.0
