variant,mode,repetition,images,seconds,images_per_second
torch,end_to_end,1,256,0.17301857308484614,1479.6099368734292
torch,end_to_end,2,256,0.17668779799714684,1448.883300951738
torch,end_to_end,3,256,0.17422763700596988,1469.3420883119031
torch,streaming,1,4096,2.073168557137251,1975.7197194115224
torch,streaming,2,4096,2.281771891983226,1795.0961769626842
torch,streaming,3,4096,1.942014266969636,2109.1503134997524
onnx,end_to_end,1,256,0.33658771589398384,760.5743998115285
onnx,end_to_end,2,256,0.32307914597913623,792.3755005113575
onnx,end_to_end,3,256,0.33601783006452024,761.8643330648387
onnx,streaming,1,4096,3.9595700660720468,1034.455744348854
onnx,streaming,2,4096,4.432902649976313,923.9995378698169
onnx,streaming,3,4096,4.110354200005531,996.5077948743415
torch-tta,end_to_end,1,256,0.6653069949243218,384.7847714709806
torch-tta,end_to_end,2,256,0.6480720441322774,395.01781062438187
torch-tta,end_to_end,3,256,0.6541442449670285,391.35099325517024
torch-tta,streaming,1,4096,7.125840627821162,574.8093753329446
torch-tta,streaming,2,4096,6.513772226171568,628.8214966348924
torch-tta,streaming,3,4096,6.565300341928378,623.8861570188138
onnx-tta,end_to_end,1,256,1.2232836210168898,209.27280934832808
onnx-tta,end_to_end,2,256,1.175656639970839,217.75065210055703
onnx-tta,end_to_end,3,256,1.2088225970510393,211.7763190599845
onnx-tta,streaming,1,4096,9.869592084083706,415.0120861231392
onnx-tta,streaming,2,4096,10.341743794968352,396.06473349232056
onnx-tta,streaming,3,4096,10.501273917034268,390.0479153634702
