environment_id,variant,device,trial,preset,batch_size,images_per_second,seconds,peak_host_rss_mib
j-12402286-job-0,v2,cpu,trial-0-v2-cpu,full,1,1.8118844130674805,"[0.5598056560847908, 0.5531074069440365, 0.5593097188975662, 0.5500260358676314, 0.5513407660182565, 0.5519115859642625, 0.5502322369720787]",4581.8515625
j-12402286-job-0,v2,cpu,trial-0-v2-cpu,north_europe,1,1.8378617180208665,"[0.5421012500301003, 0.5449547581374645, 0.5411054699216038, 0.5458362558856606, 0.5441105770878494, 0.5461597528774291, 0.5435048039071262]",4581.8515625
j-12402286-job-0,v2,cpu,trial-0-v2-cpu,full,8,1.9819228538278038,"[4.0097632319666445, 4.035052950959653, 4.036484056152403, 4.052431344985962, 4.046968417009339, 4.031886751996353, 4.04219921422191]",4581.8515625
j-12402286-job-0,v2,cpu,trial-0-v2-cpu,north_europe,8,1.9873168667309,"[4.016418604878709, 4.015866093803197, 4.026619980111718, 4.025528155034408, 4.040538410888985, 4.028720021946356, 4.01123312395066]",4581.8515625
j-12402286-job-0,torch,cpu,trial-0-torch-cpu,full,1,18.773565083969793,"[0.05192704009823501, 0.053253568010404706, 0.053063621977344155, 0.053309903014451265, 0.05326638789847493, 0.053548603085801005, 0.053931969916448]",3438.1953125
j-12402286-job-0,torch,cpu,trial-0-torch-cpu,north_europe,1,19.608615518753595,"[0.0493916308041662, 0.0506248080637306, 0.05397037696093321, 0.05188810080289841, 0.05133753200061619, 0.05099799111485481, 0.05074841505847871]",3438.1953125
j-12402286-job-0,torch,cpu,trial-0-torch-cpu,full,8,32.06470541085348,"[0.24803464789874852, 0.24921914213337004, 0.25404071412049234, 0.25220209499821067, 0.24949550908058882, 0.25121114193461835, 0.2479143759701401]",3438.1953125
j-12402286-job-0,torch,cpu,trial-0-torch-cpu,north_europe,8,32.4939802296532,"[0.24331936007365584, 0.24609336792491376, 0.2490320538636297, 0.24619944812729955, 0.24873223202303052, 0.24366387887857854, 0.24782164092175663]",3438.1953125
j-12402286-job-0,onnx,cpu,trial-0-onnx-cpu,full,1,25.252030387472338,"[0.039362087147310376, 0.03960077604278922, 0.039295236114412546, 0.040591028053313494, 0.040940073085948825, 0.03971679089590907, 0.03933157119899988]",2684.859375
j-12402286-job-0,onnx,cpu,trial-0-onnx-cpu,north_europe,1,21.086797547826855,"[0.03908186499029398, 0.055052950978279114, 0.048711427953094244, 0.04716102289967239, 0.04788451315835118, 0.0474230379331857, 0.04727510595694184]",2684.859375
j-12402286-job-0,onnx,cpu,trial-0-onnx-cpu,full,8,34.45055136496956,"[0.23389615188352764, 0.23221689299680293, 0.24549970892257988, 0.23073260695673525, 0.23048642603680491, 0.24050917197018862, 0.23132266593165696]",2684.859375
j-12402286-job-0,onnx,cpu,trial-0-onnx-cpu,north_europe,8,36.84371633820095,"[0.21713336207903922, 0.21594624407589436, 0.21369783696718514, 0.21867421292699873, 0.22980202292092144, 0.22040039184503257, 0.21298504318110645]",2684.859375
j-12402286-job-0,torch-tta,cpu,trial-0-torch-tta-cpu,full,1,5.982112764439149,"[0.16745743993669748, 0.16899099084548652, 0.1671650200150907, 0.16742447996512055, 0.16586729395203292, 0.16567778890021145, 0.1668674210086465]",4314.37109375
j-12402286-job-0,torch-tta,cpu,trial-0-torch-tta-cpu,north_europe,1,6.129117001871484,"[0.16287323297001421, 0.16466836794279516, 0.16084106196649373, 0.16607555793598294, 0.16198024689219892, 0.1659450209699571, 0.16315563884563744]",4314.37109375
