model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
v2,zero,species,-1,per_model,12632,568939,568939,568939,1.0,0.8775332728247491,0.8448274823412316,0.8775332728247491,0.850372188202817
torch,zero,species,-1,per_model,12632,568939,568939,568939,1.0,0.9295522392148737,0.9084034020798256,0.9295522392148737,0.9144754993404935
onnx,zero,species,-1,per_model,12632,568939,568939,568939,1.0,0.929545760642923,0.9083939953917602,0.929545760642923,0.9144694069143972
torch-tta,zero,species,-1,per_model,12632,568939,568939,568939,1.0,0.9031914801618097,0.8957682319690011,0.9031914801618097,0.8931233034667367
onnx-tta,zero,species,-1,per_model,12632,568939,568939,568939,1.0,0.903254258165182,0.8958363209627044,0.903254258165182,0.8931813750062196
v2,zero,species,5,per_model,10916,560528,558639,568939,1.0,0.8898344938001994,0.859133756872216,0.8898344938001994,0.8671738560913168
v2,zero,species,5,common,10732,559258,556775,568939,1.0,0.892042637746108,0.8624807091335043,0.892042637746108,0.870130409847651
torch,zero,species,5,per_model,11024,561352,560419,568939,1.0,0.9348916502566212,0.9176309501354614,0.9348916502566212,0.923323778252479
torch,zero,species,5,common,10732,559258,558238,568939,1.0,0.9371951539678676,0.920053780228017,0.9371951539678676,0.9257802069792285
onnx,zero,species,5,per_model,11023,561346,560412,568939,1.0,0.9349063992486292,0.9176431065400046,0.9349063992486292,0.9233383284058694
onnx,zero,species,5,common,10732,559258,558236,568939,1.0,0.9372070517025534,0.9200666309904021,0.9372070517025534,0.9257949069356713
torch-tta,zero,species,5,per_model,10906,560439,560252,568939,1.0,0.9145122082372219,0.9040744836279291,0.9145122082372219,0.9054421933610873
torch-tta,zero,species,5,common,10732,559258,558982,568939,1.0,0.9160969130174343,0.9061800058338343,0.9160969130174343,0.9073461234817897
onnx-tta,zero,species,5,per_model,10907,560445,560258,568939,1.0,0.9145713598093338,0.9041187052013864,0.9145713598093338,0.905496546764529
onnx-tta,zero,species,5,common,10732,559258,558984,568939,1.0,0.9161801232055252,0.9062393050497608,0.9161801232055252,0.9074189531592058
v2,zero,species,10,per_model,8357,539923,534214,568939,1.0,0.8951105023339889,0.8803886049108982,0.8951105023339889,0.8829762240880302
v2,zero,species,10,common,8220,538215,531734,568939,1.0,0.8971896508002563,0.8841533826265109,0.8971896508002563,0.8861137420840434
torch,zero,species,10,per_model,8418,540767,538164,568939,1.0,0.9380158443604093,0.9296376645105903,0.9380158443604093,0.9320805568483266
torch,zero,species,10,common,8220,538215,535520,568939,1.0,0.9402949033689514,0.9320804614980398,0.9402949033689514,0.9344958099860401
onnx,zero,species,10,per_model,8418,540767,538167,568939,1.0,0.9380428919356814,0.9296503994930084,0.9380428919356814,0.9321018436377108
onnx,zero,species,10,common,8220,538215,535522,568939,1.0,0.9403226024551605,0.9320974182871349,0.9403226024551605,0.9345190051373535
torch-tta,zero,species,10,per_model,8319,539488,538099,568939,1.0,0.9203211708443862,0.9166550444469626,0.9203211708443862,0.9159746062189662
torch-tta,zero,species,10,common,8220,538215,536830,568939,1.0,0.9211332254340128,0.9175233686268738,0.9211332254340128,0.9168731065085346
onnx-tta,zero,species,10,per_model,8319,539483,538098,568939,1.0,0.92037212552277,0.9167108005058885,0.92037212552277,0.9160385012807551
onnx-tta,zero,species,10,common,8220,538215,536830,568939,1.0,0.9211467767684987,0.9175744487497752,0.9211467767684987,0.9169124697458879
v2,zero,species,20,per_model,5848,501474,491150,568939,1.0,0.9017298315234328,0.9059592212945008,0.9017298315234328,0.9009425455604116
v2,zero,species,20,common,5731,498591,487865,568939,1.0,0.9038010699656939,0.90938248738554,0.9038010699656939,0.9038380155005598
torch,zero,species,20,per_model,5902,502780,498324,568939,1.0,0.9426777967218563,0.9440419050324644,0.9426777967218563,0.9424333577615158
torch,zero,species,20,common,5731,498591,494107,568939,1.0,0.9443702914364024,0.9458085393432879,0.9443702914364024,0.944187060216263
onnx,zero,species,20,per_model,5901,502758,498305,568939,1.0,0.9427320388202419,0.9440874403033691,0.9427320388202419,0.9424850295533255
onnx,zero,species,20,common,5731,498591,494107,568939,1.0,0.9444129968792908,0.945849455959867,0.9444129968792908,0.9442310591069565
torch-tta,zero,species,20,per_model,5837,500984,498762,568939,1.0,0.927167942433883,0.92839515030944,0.927167942433883,0.926323530505297
torch-tta,zero,species,20,common,5731,498591,496322,568939,1.0,0.9279814852456145,0.9294383563309784,0.9279814852456145,0.9272619166439888
onnx-tta,zero,species,20,per_model,5836,500962,498747,568939,1.0,0.9272175462279626,0.9284436495884548,0.9272175462279626,0.9263759507200151
onnx-tta,zero,species,20,common,5731,498591,496329,568939,1.0,0.9279913018908342,0.9294415780050014,0.9279913018908342,0.9272719293868689
v2,zero,genus,-1,per_model,4476,568939,568939,568939,1.0,0.9449328592412035,0.9072671198812579,0.9449328592412035,0.9213682143792531
torch,zero,genus,-1,per_model,4476,568939,568939,568939,1.0,0.9700441575339722,0.9534379966946678,0.9700441575339722,0.9600051179818128
onnx,zero,genus,-1,per_model,4476,568939,568939,568939,1.0,0.9700350462704753,0.9534572983167396,0.9700350462704753,0.9600143434479116
torch-tta,zero,genus,-1,per_model,4476,568939,568939,568939,1.0,0.9525452203980439,0.9370642917998594,0.9525452203980439,0.9422165624061323
onnx-tta,zero,genus,-1,per_model,4476,568939,568939,568939,1.0,0.9524334553173022,0.9371069603411143,0.9524334553173022,0.9421777591016375
v2,zero,genus,5,per_model,4096,567151,566855,568939,1.0,0.9472634049157832,0.9131916817978536,0.9472634049157832,0.9265881804644791
v2,zero,genus,5,common,4077,567027,566720,568939,1.0,0.9479651709033954,0.913798169374068,0.9479651709033954,0.9272747658088364
torch,zero,genus,5,per_model,4107,567216,567078,568939,1.0,0.971127350882503,0.9577638403342953,0.971127350882503,0.9633165216188838
torch,zero,genus,5,common,4077,567027,566882,568939,1.0,0.9714171324802696,0.9581319473622291,0.9714171324802696,0.9636531390879689
onnx,zero,genus,5,per_model,4107,567216,567079,568939,1.0,0.9711174210029285,0.9577442950198877,0.9711174210029285,0.9633044408045054
onnx,zero,genus,5,common,4077,567027,566883,568939,1.0,0.9714071295331486,0.9581122582265235,0.9714071295331486,0.9636409693787092
torch-tta,zero,genus,5,per_model,4098,567160,567039,568939,1.0,0.955211201010184,0.9413856953684685,0.955211201010184,0.9464056106523142
torch-tta,zero,genus,5,common,4077,567027,566891,568939,1.0,0.9554622976340493,0.9419053142860855,0.9554622976340493,0.946826548337692
onnx-tta,zero,genus,5,per_model,4097,567154,567032,568939,1.0,0.9551188449853553,0.9414520982548996,0.9551188449853553,0.9463993752658038
onnx-tta,zero,genus,5,common,4077,567027,566890,568939,1.0,0.9553804742750274,0.9419864197387074,0.9553804742750274,0.9468334279086545
v2,zero,genus,10,per_model,3458,562081,561074,568939,1.0,0.9491963374320637,0.9236764435595063,0.9491963374320637,0.9340308144742723
v2,zero,genus,10,common,3431,561762,560668,568939,1.0,0.9501714517217695,0.9249819852768866,0.9501714517217695,0.9352580486950688
torch,zero,genus,10,per_model,3465,562162,561762,568939,1.0,0.9723113450903962,0.962961804837905,0.9723113450903962,0.966981073692487
torch,zero,genus,10,common,3431,561762,561337,568939,1.0,0.9726570872678164,0.963524847606718,0.9726570872678164,0.9674634884761172
onnx,zero,genus,10,per_model,3465,562162,561763,568939,1.0,0.9722995753889785,0.9629677896848711,0.9722995753889785,0.9669757734240944
onnx,zero,genus,10,common,3431,561762,561338,568939,1.0,0.9726452009328085,0.9635308917614068,0.9726452009328085,0.9674581356839339
torch-tta,zero,genus,10,per_model,3452,562005,561552,568939,1.0,0.9570998065013813,0.9482638561509876,0.9570998065013813,0.9515461269141664
torch-tta,zero,genus,10,common,3431,561762,561309,568939,1.0,0.9573515304014386,0.9484564997611858,0.9573515304014386,0.951766676155064
onnx-tta,zero,genus,10,per_model,3452,562005,561556,568939,1.0,0.9570393795504154,0.9482498429778413,0.9570393795504154,0.9515066189636512
onnx-tta,zero,genus,10,common,3431,561762,561313,568939,1.0,0.9572907335973774,0.9484424008181076,0.9572907335973774,0.9517269263896374
v2,zero,genus,20,per_model,2775,551765,549650,568939,1.0,0.9514523669537318,0.9362851124691781,0.9514523669537318,0.9424419495154486
v2,zero,genus,20,common,2754,551296,549021,568939,1.0,0.9524285882296903,0.9379631196001276,0.9524285882296903,0.9438613537384478
torch,zero,genus,20,per_model,2779,551854,551141,568939,1.0,0.9735092290300909,0.9676010415739535,0.9735092290300909,0.9701842471206528
torch,zero,genus,20,common,2754,551296,550567,568939,1.0,0.9741215463330197,0.96827917122569,0.9741215463330197,0.9708441875318052
onnx,zero,genus,20,per_model,2779,551854,551145,568939,1.0,0.9735180277959813,0.9675625563261884,0.9735180277959813,0.9701656109250639
onnx,zero,genus,20,common,2754,551296,550570,568939,1.0,0.9741304249715125,0.9682452187473357,0.9741304249715125,0.9708282639734884
torch-tta,zero,genus,20,per_model,2766,551560,550843,568939,1.0,0.9597015608526598,0.9537068881488286,0.9597015608526598,0.9559567736922241
torch-tta,zero,genus,20,common,2754,551296,550569,568939,1.0,0.9599314581499482,0.9540423387101321,0.9599314581499482,0.9562438389126422
onnx-tta,zero,genus,20,per_model,2767,551582,550868,568939,1.0,0.9596078837704425,0.9536848297971696,0.9596078837704425,0.955899607636505
onnx-tta,zero,genus,20,common,2754,551296,550575,568939,1.0,0.9598722209352499,0.954013741345455,0.9598722209352499,0.9561988978480757
v2,zero,family,-1,per_model,104,568939,568939,568939,1.0,0.9705788744761545,0.9509880328905062,0.9705788744761545,0.9597726462561909
torch,zero,family,-1,per_model,104,568939,568939,568939,1.0,0.9847079901805926,0.9765407345826963,0.9847079901805926,0.980351974922878
onnx,zero,family,-1,per_model,104,568939,568939,568939,1.0,0.9845608356725373,0.9760061052351259,0.9845608356725373,0.9799783228875365
torch-tta,zero,family,-1,per_model,104,568939,568939,568939,1.0,0.9681161624170399,0.9623314442357818,0.9681161624170399,0.9645304134232945
onnx-tta,zero,family,-1,per_model,104,568939,568939,568939,1.0,0.9681041671465577,0.9623128857780121,0.9681041671465577,0.9645148542838584
v2,zero,family,5,per_model,101,568926,568924,568939,1.0,0.9697049796586146,0.9523610862012567,0.9697049796586146,0.9602279393793121
v2,zero,family,5,common,101,568926,568924,568939,1.0,0.9697049796586146,0.9523610862012567,0.9697049796586146,0.9602279393793121
