model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
v2,zero,species,-1,per_model,1205,52788,52788,52788,1.0,0.6856229575537315,0.2795792585422393,0.6856229575537315,0.2619881841444524
torch,zero,species,-1,per_model,1289,52788,52788,52788,1.0,0.7135646156794592,0.2688723997356787,0.7135646156794592,0.25928693173615297
onnx,zero,species,-1,per_model,1289,52788,52788,52788,1.0,0.7133861511997317,0.2689411284200973,0.7133861511997317,0.2593624046134101
torch-tta,zero,species,-1,per_model,1131,52788,52788,52788,1.0,0.7493898333756177,0.3361085016262147,0.7493898333756177,0.32014833573036827
onnx-tta,zero,species,-1,per_model,1132,52788,52788,52788,1.0,0.7493378530417095,0.335607011455683,0.7493378530417095,0.3197309858969451
v2,zero,species,5,per_model,320,44895,39395,52788,1.0,0.7835860088760841,0.8271892598535118,0.7835860088760841,0.7771880031099807
v2,zero,species,5,common,311,44709,39284,52788,1.0,0.7900550443728065,0.8335510054241905,0.7900550443728065,0.7835569174460332
torch,zero,species,5,per_model,321,44848,40080,52788,1.0,0.8016540743299243,0.826169612130568,0.8016540743299243,0.7937632511493784
torch,zero,species,5,common,311,44709,39989,52788,1.0,0.8159055366992773,0.837066966065252,0.8159055366992773,0.8065774964710728
onnx,zero,species,5,per_model,321,44848,40095,52788,1.0,0.8021426772632025,0.8262878591168297,0.8021426772632025,0.794015782308363
onnx,zero,species,5,common,311,44709,40004,52788,1.0,0.8164098503378058,0.8371890152054124,0.8164098503378058,0.806838147603015
torch-tta,zero,species,5,per_model,321,44929,41848,52788,1.0,0.8567411793921805,0.8760937958534148,0.8567411793921805,0.850373233680162
torch-tta,zero,species,5,common,311,44709,41727,52788,1.0,0.865303260260028,0.8809281307434137,0.865303260260028,0.8573956478024776
onnx-tta,zero,species,5,per_model,321,44929,41848,52788,1.0,0.8566566506248902,0.8757776830894549,0.8566566506248902,0.8502587874803171
onnx-tta,zero,species,5,common,311,44709,41728,52788,1.0,0.8655083257153624,0.8807049123666298,0.8655083257153624,0.8574639236363765
v2,zero,species,10,per_model,277,43835,38825,52788,1.0,0.7994793772053351,0.8464715182316644,0.7994793772053351,0.8020074761104694
v2,zero,species,10,common,269,43592,38684,52788,1.0,0.807434274731362,0.8524634178075089,0.807434274731362,0.8090415998072698
torch,zero,species,10,per_model,285,44492,39612,52788,1.0,0.8171258284359165,0.8511929361965738,0.8171258284359165,0.8180429337935674
torch,zero,species,10,common,269,43592,39084,52788,1.0,0.8256404609528794,0.8567343194106741,0.8256404609528794,0.8257371612732255
onnx,zero,species,10,per_model,285,44492,39626,52788,1.0,0.817676149634451,0.8513280853428178,0.817676149634451,0.8183308171409448
onnx,zero,species,10,common,269,43592,39098,52788,1.0,0.8262235150108063,0.856877507167847,0.8262235150108063,0.8260421677936811
torch-tta,zero,species,10,per_model,287,44585,41383,52788,1.0,0.8650597753206963,0.890822796453379,0.8650597753206963,0.866596355497898
torch-tta,zero,species,10,common,269,43592,40689,52788,1.0,0.8758483940155001,0.8978559590586308,0.8758483940155001,0.8761006747537562
onnx-tta,zero,species,10,per_model,287,44585,41382,52788,1.0,0.8649652326924728,0.8906558948204186,0.8649652326924728,0.8664756558669171
onnx-tta,zero,species,10,common,269,43592,40689,52788,1.0,0.8760941628080915,0.897846903368685,0.8760941628080915,0.8762293688340541
v2,zero,species,20,per_model,216,42698,37641,52788,1.0,0.8082495823011705,0.8625621889375423,0.8082495823011705,0.8168473325998337
v2,zero,species,20,common,207,42149,37370,52788,1.0,0.8175661534139832,0.8679692809334503,0.8175661534139832,0.8251439958793457
torch,zero,species,20,per_model,222,43361,38417,52788,1.0,0.8271275510654174,0.878086795953307,0.8271275510654174,0.8390189376702694
torch,zero,species,20,common,207,42149,37749,52788,1.0,0.8380264705318411,0.8870648514468934,0.8380264705318411,0.8498822675305044
onnx,zero,species,20,per_model,222,43361,38429,52788,1.0,0.8276292942912182,0.8782629747089122,0.8276292942912182,0.8392847349307755
onnx,zero,species,20,common,207,42149,37764,52788,1.0,0.8385645719624101,0.8868839185673889,0.8385645719624101,0.8499675200880887
torch-tta,zero,species,20,per_model,226,43341,40350,52788,1.0,0.8779440296582359,0.9091124323290416,0.8779440296582359,0.8834258152556967
torch-tta,zero,species,20,common,207,42149,39473,52788,1.0,0.8847402108374071,0.9092002957022167,0.8847402108374071,0.8877589946240976
onnx-tta,zero,species,20,per_model,226,43341,40349,52788,1.0,0.8779933384089511,0.9089448421313119,0.8779933384089511,0.8833793412304258
onnx-tta,zero,species,20,common,207,42149,39471,52788,1.0,0.884644302107583,0.9090587633916279,0.884644302107583,0.8876136773297221
v2,zero,genus,-1,per_model,691,52788,52788,52788,1.0,0.7893807671430488,0.3234152967366764,0.7893807671430488,0.32128858585759756
torch,zero,genus,-1,per_model,713,52788,52788,52788,1.0,0.8053026558890463,0.3221313136590869,0.8053026558890463,0.3230351895845698
onnx,zero,genus,-1,per_model,710,52788,52788,52788,1.0,0.8053599793321786,0.32303901654923844,0.8053599793321786,0.32445203101159475
torch-tta,zero,genus,-1,per_model,643,52788,52788,52788,1.0,0.8472767012256567,0.3871858468468912,0.8472767012256567,0.38731172619778687
onnx-tta,zero,genus,-1,per_model,642,52788,52788,52788,1.0,0.8472504239634208,0.38755157575495597,0.8472504239634208,0.38771743876773856
v2,zero,genus,5,per_model,244,52582,44975,52788,1.0,0.8198886444355898,0.8176206331689666,0.8198886444355898,0.7926029899466802
v2,zero,genus,5,common,242,52567,44953,52788,1.0,0.8206876060779148,0.8201078560326222,0.8206876060779148,0.7941995832133606
torch,zero,genus,5,per_model,242,52567,44773,52788,1.0,0.8383310164872881,0.8166147950822779,0.8383310164872881,0.8056571781128056
torch,zero,genus,5,common,242,52567,44773,52788,1.0,0.8383310164872881,0.8166147950822779,0.8383310164872881,0.8056571781128056
onnx,zero,genus,5,per_model,242,52567,44776,52788,1.0,0.8384072898289766,0.8162946927109619,0.8384072898289766,0.8055261341500322
onnx,zero,genus,5,common,242,52567,44776,52788,1.0,0.8384072898289766,0.8162946927109619,0.8384072898289766,0.8055261341500322
torch-tta,zero,genus,5,per_model,244,52582,45986,52788,1.0,0.8801037705609983,0.8650981003057536,0.8801037705609983,0.8548827619376147
torch-tta,zero,genus,5,common,242,52567,45974,52788,1.0,0.8812527981807469,0.8646719138069031,0.8812527981807469,0.8551819474190718
onnx-tta,zero,genus,5,per_model,244,52582,45983,52788,1.0,0.8800690931903428,0.8647486446406456,0.8800690931903428,0.8545922539194751
onnx-tta,zero,genus,5,common,242,52567,45971,52788,1.0,0.8812178342202511,0.864319570078447,0.8812178342202511,0.8548890385082203
v2,zero,genus,10,per_model,221,52377,44619,52788,1.0,0.8242091812881619,0.8349759270593797,0.8242091812881619,0.8073029077289685
v2,zero,genus,10,common,219,52349,44584,52788,1.0,0.8245607328459141,0.8365957191270255,0.8245607328459141,0.8083056265437976
torch,zero,genus,10,per_model,224,52409,44500,52788,1.0,0.8420595718087585,0.8360051629538205,0.8420595718087585,0.8201488914933474
torch,zero,genus,10,common,219,52349,44429,52788,1.0,0.8411427176898308,0.8376300487556162,0.8411427176898308,0.8202795396773236
onnx,zero,genus,10,per_model,224,52409,44504,52788,1.0,0.8421419742582609,0.8355105285467141,0.8421419742582609,0.8198882695930891
onnx,zero,genus,10,common,219,52349,44433,52788,1.0,0.8412270014737968,0.8371241213255166,0.8412270014737968,0.8200129675053699
torch-tta,zero,genus,10,per_model,222,52387,45701,52788,1.0,0.887280993797046,0.8844442695435504,0.887280993797046,0.8716325700875605
torch-tta,zero,genus,10,common,219,52349,45660,52788,1.0,0.8874178652560551,0.8854839580503524,0.8874178652560551,0.87205931213225
onnx-tta,zero,genus,10,per_model,222,52387,45697,52788,1.0,0.8872428799301995,0.8840784199971973,0.8872428799301995,0.8713393860561334
onnx-tta,zero,genus,10,common,219,52349,45656,52788,1.0,0.8873792292814436,0.8851130968663781,0.8873792292814436,0.8717621118812142
v2,zero,genus,20,per_model,178,51193,43632,52788,1.0,0.8447796356264702,0.8683866368462851,0.8447796356264702,0.8409068314387458
v2,zero,genus,20,common,174,51091,43532,52788,1.0,0.8468431185140185,0.8700188865290815,0.8468431185140185,0.8425197107045042
torch,zero,genus,20,per_model,180,51668,43510,52788,1.0,0.851621812405513,0.8767852358251573,0.851621812405513,0.8500899477281391
torch,zero,genus,20,common,174,51091,43120,52788,1.0,0.8572846967941111,0.879992285140897,0.8572846967941111,0.8551335240737619
onnx,zero,genus,20,per_model,180,51668,43511,52788,1.0,0.8514718324234797,0.8766263792837025,0.8514718324234797,0.8499294903140182
onnx,zero,genus,20,common,174,51091,43120,52788,1.0,0.8569783049191699,0.8797840089758777,0.8569783049191699,0.8548933267800543
torch-tta,zero,genus,20,per_model,181,51690,44870,52788,1.0,0.8952201890577778,0.9132784407726137,0.8952201890577778,0.8933677281815686
torch-tta,zero,genus,20,common,174,51091,44453,52788,1.0,0.899597539923479,0.9135145414371996,0.899597539923479,0.8960360409484771
onnx-tta,zero,genus,20,per_model,181,51690,44864,52788,1.0,0.8951734416630821,0.9130696781092725,0.8951734416630821,0.8931898883411497
onnx-tta,zero,genus,20,common,174,51091,44448,52788,1.0,0.8995623397519747,0.9132974690072101,0.8995623397519747,0.8958616326578391
v2,zero,family,-1,per_model,64,52788,52788,52788,1.0,0.8435038466784595,0.2610923881260793,0.8435038466784595,0.26968398140672784
torch,zero,family,-1,per_model,60,52788,52788,52788,1.0,0.8104767092433202,0.2753352445359579,0.8104767092433202,0.2804941988278224
onnx,zero,family,-1,per_model,60,52788,52788,52788,1.0,0.8106325437578626,0.2756918885388057,0.8106325437578626,0.2808879232365722
torch-tta,zero,family,-1,per_model,52,52788,52788,52788,1.0,0.86366836103727,0.3473357735776554,0.86366836103727,0.35919021330288153
onnx-tta,zero,family,-1,per_model,52,52788,52788,52788,1.0,0.8636665098420966,0.34712795694828363,0.8636665098420966,0.359050677814834
v2,zero,family,5,per_model,20,52783,52241,52788,1.0,0.8700294236802284,0.8073706420034539,0.8700294236802284,0.8237730542270191
v2,zero,family,5,common,20,52783,52241,52788,1.0,0.8700294236802284,0.8073706420034539,0.8700294236802284,0.8237730542270191
torch,zero,family,5,per_model,20,52783,51891,52788,1.0,0.8570482156298184,0.7593390669412071,0.8570482156298184,0.7831492631501338
