model,preset,scope,rank,images,macro_accuracy,macro_precision,macro_recall,macro_f1,micro_accuracy,theilU,coverage
v2,north_europe,all,species,58640,0.6852063621352951,0.2742104381019442,0.6852063621352951,0.25753800338546967,0.68712482946794,0.9259639612074944,1.0
v2,north_europe,all,genus,58640,0.7890053947525617,0.3188818859364664,0.7890053947525617,0.3169285074452811,0.7922919508867667,0.9286450152404832,1.0
v2,north_europe,all,family,58640,0.8440271040813301,0.26007435892237385,0.8440271040813301,0.2691037692533918,0.9449351978171896,0.865726913911594,1.0
v2,north_europe,known,species,50598,0.706872966471589,0.27934832747314936,0.706872966471589,0.26468747200295195,0.7963358235503379,0.9284675700829689,1.0
v2,north_europe,known,genus,58639,0.7914633554838781,0.3189462554934523,0.7914633554838781,0.3174198331740771,0.7923054622350313,0.9286569914847851,1.0
v2,north_europe,known,family,58640,0.8440271040813301,0.26007435892237385,0.8440271040813301,0.2691037692533918,0.9449351978171896,0.865726913911594,1.0
v2,europe,all,species,58640,0.6604260262269301,0.220093475997043,0.6604260262269301,0.19998360830548284,0.669594133697135,0.9298644970123321,1.0
v2,europe,all,genus,58640,0.7728971632770847,0.26145460355851485,0.7728971632770847,0.25527668172822016,0.7764495225102319,0.9304037751304223,1.0
v2,europe,all,family,58640,0.8353711166095457,0.24311183116521895,0.8353711166095457,0.2512650593074731,0.9423090040927694,0.858730608498533,1.0
v2,europe,known,species,50598,0.6813090626293627,0.22455003199982063,0.6813090626293627,0.20496609487323514,0.7760188149729238,0.9324736395684865,1.0
v2,europe,known,genus,58640,0.7728971632770847,0.26145460355851485,0.7728971632770847,0.25527668172822016,0.7764495225102319,0.9304037751304223,1.0
v2,europe,known,family,58640,0.8353711166095457,0.24311183116521895,0.8353711166095457,0.2512650593074731,0.9423090040927694,0.858730608498533,1.0
v2,full,all,species,58640,0.5720627970250876,0.1100618404698789,0.5720627970250876,0.08990868448899282,0.5936050477489768,0.9424989337241723,1.0
v2,full,all,genus,58640,0.7168278641037727,0.1327201662316462,0.7168278641037727,0.12210675669894289,0.7285129604365621,0.9364867523141058,1.0
v2,full,all,family,58640,0.8069699178640561,0.19682625488877242,0.8069699178640561,0.20522430973656694,0.9265006821282401,0.8320049778627998,1.0
v2,full,known,species,50598,0.5901517392235093,0.11296990063684895,0.5901517392235093,0.09231932892005533,0.6879520929681016,0.9472050810666933,1.0
v2,full,known,genus,58640,0.7168278641037727,0.1327201662316462,0.7168278641037727,0.12210675669894289,0.7285129604365621,0.9364867523141058,1.0
v2,full,known,family,58640,0.8069699178640561,0.19682625488877242,0.8069699178640561,0.20522430973656694,0.9265006821282401,0.8320049778627998,1.0
v3,north_europe,all,species,58640,0.7123671759291879,0.26361186496219735,0.7123671759291879,0.25450880594788156,0.7078956343792633,0.9282973331913745,1.0
v3,north_europe,all,genus,58640,0.8054070319557569,0.31882230287858776,0.8054070319557569,0.3207725301986971,0.7936732605729877,0.927078119536916,1.0
v3,north_europe,all,family,58640,0.8106383132501974,0.27544229106153234,0.8106383132501974,0.2805840235220709,0.9298090040927695,0.8488942298912809,1.0
v3,north_europe,known,species,50598,0.734892620227344,0.2677964216559137,0.734892620227344,0.2609164468790569,0.8204079212617099,0.9313037775676971,1.0
v3,north_europe,known,genus,58639,0.8079160881300739,0.31884970853060046,0.8079160881300739,0.3212438169069074,0.7936867954774126,0.9270916152069156,1.0
v3,north_europe,known,family,58640,0.8106383132501974,0.27544229106153234,0.8106383132501974,0.2805840235220709,0.9298090040927695,0.8488942298912809,1.0
v3,europe,all,species,58640,0.6906121581308468,0.2125866053945616,0.6906121581308468,0.19931852384419554,0.6894952251023192,0.9327740860469433,1.0
v3,europe,all,genus,58640,0.7927684087442151,0.25792706709688445,0.7927684087442151,0.25548534308971915,0.7793656207366985,0.930377596554077,1.0
v3,europe,all,family,58640,0.8061650335232657,0.25177044612587207,0.8061650335232657,0.25562321183354897,0.9286323328785812,0.8415003084731356,1.0
v3,europe,known,species,50598,0.7124496967278696,0.21701009331649532,0.7124496967278696,0.20477619736063515,0.7990829677062334,0.9361501370706838,1.0
v3,europe,known,genus,58640,0.7927684087442151,0.25792706709688445,0.7927684087442151,0.25548534308971915,0.7793656207366985,0.930377596554077,1.0
v3,europe,known,family,58640,0.8061650335232657,0.25177044612587207,0.8061650335232657,0.25562321183354897,0.9286323328785812,0.8415003084731356,1.0
v3,full,all,species,58640,0.5802757153882665,0.11912807276515047,0.5802757153882665,0.09709532327738142,0.5843281036834925,0.9381503100112119,1.0
v3,full,all,genus,58640,0.7133531076261048,0.139300115626279,0.7133531076261048,0.12672892757582832,0.7058321964529332,0.927961126268096,1.0
v3,full,all,family,58640,0.7851379223252065,0.18846238515501548,0.7851379223252065,0.19392386150040025,0.903137789904502,0.803447959660008,1.0
v3,full,known,species,50598,0.5986243546100299,0.1233403630154899,0.5986243546100299,0.10055972949058657,0.6772006798687695,0.9436554162021304,1.0
v3,full,known,genus,58640,0.7133531076261048,0.139300115626279,0.7133531076261048,0.12672892757582832,0.7058321964529332,0.927961126268096,1.0
v3,full,known,family,58640,0.7851379223252065,0.18846238515501548,0.7851379223252065,0.19392386150040025,0.903137789904502,0.803447959660008,1.0
