model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
v2,zero,species,0,per_model,490,45522,40726,52788,1.0,0.730398334373567,0.6692785107551973,0.730398334373567,0.6442770650899289
v2,zero,species,0,common,479,45499,40683,52788,1.0,0.7445619704447763,0.6838130903341267,0.7445619704447763,0.6579127480970971
torch,zero,species,0,per_model,495,45527,41183,52788,1.0,0.7524863219892478,0.6854888251847001,0.7524863219892478,0.6751936464806082
torch,zero,species,0,common,479,45499,41145,52788,1.0,0.768226992452354,0.7029581805144605,0.768226992452354,0.6921799339065436
onnx,zero,species,0,per_model,495,45527,41196,52788,1.0,0.7522981230833534,0.6856640486185108,0.7522981230833534,0.6753901809023951
onnx,zero,species,0,common,479,45499,41158,52788,1.0,0.7680325071529435,0.7031392569230956,0.7680325071529435,0.6923830331524404
torch-tta,zero,species,0,per_model,491,45520,42031,52788,1.0,0.7873444012917992,0.7275774071350241,0.7873444012917992,0.7194797347248981
torch-tta,zero,species,0,common,479,45499,42007,52788,1.0,0.7966306910945165,0.7388458738412599,0.7966306910945165,0.7300482696837085
onnx-tta,zero,species,0,per_model,490,45519,42040,52788,1.0,0.7892730174965529,0.7287480551447586,0.7892730174965529,0.7209150108506917
onnx-tta,zero,species,0,common,479,45499,42017,52788,1.0,0.7969598717605656,0.7385244544626272,0.7969598717605656,0.7300144608463682
v2,zero,species,5,per_model,320,44895,39395,52788,1.0,0.7835860088760841,0.8271892598535118,0.7835860088760841,0.7771880031099807
v2,zero,species,5,common,313,44730,39306,52788,1.0,0.7884742372532278,0.8305015444074887,0.7884742372532278,0.7815287772418466
torch,zero,species,5,per_model,321,44848,40080,52788,1.0,0.8016540743299243,0.826169612130568,0.8016540743299243,0.7937632511493783
torch,zero,species,5,common,313,44730,40012,52788,1.0,0.8112118860261139,0.8306457257526491,0.8112118860261139,0.801323823079522
onnx,zero,species,5,per_model,321,44848,40095,52788,1.0,0.8021426772632025,0.8262878591168297,0.8021426772632025,0.7940157823083628
onnx,zero,species,5,common,313,44730,40027,52788,1.0,0.8117129772132781,0.8307669950260991,0.8117129772132781,0.8015828087090237
torch-tta,zero,species,5,per_model,323,44853,41093,52788,1.0,0.8286743235345041,0.8455415603248386,0.8286743235345041,0.82010073306771
torch-tta,zero,species,5,common,313,44730,41004,52788,1.0,0.8390964584441899,0.8519293635860035,0.8390964584441899,0.8287585120001667
onnx-tta,zero,species,5,per_model,323,44853,41099,52788,1.0,0.8289044913540222,0.8454663089232555,0.8289044913540222,0.8200672672516621
onnx-tta,zero,species,5,common,313,44730,41010,52788,1.0,0.8393339798681654,0.8518517079862864,0.8393339798681654,0.8287239769887177
v2,zero,species,10,per_model,277,43835,38825,52788,1.0,0.7994793772053351,0.8464715182316644,0.7994793772053351,0.8020074761104699
v2,zero,species,10,common,271,43652,38723,52788,1.0,0.8043288259343255,0.849759710747019,0.8043288259343255,0.8062320354321301
torch,zero,species,10,per_model,285,44492,39612,52788,1.0,0.8171258284359165,0.8511929361965738,0.8171258284359165,0.8180429337935673
torch,zero,species,10,common,271,43652,39130,52788,1.0,0.8236153818021188,0.8538220455561393,0.8236153818021188,0.8231516237390821
onnx,zero,species,10,per_model,285,44492,39626,52788,1.0,0.817676149634451,0.8513280853428178,0.817676149634451,0.8183308171409442
onnx,zero,species,10,common,271,43652,39144,52788,1.0,0.8241941328780684,0.853964176577097,0.8241941328780684,0.8234543792889069
torch-tta,zero,species,10,per_model,284,44470,40603,52788,1.0,0.8470429977027221,0.8707776696179902,0.8470429977027221,0.8452968243564886
torch-tta,zero,species,10,common,271,43652,40056,52788,1.0,0.8513634723466735,0.872112449562329,0.8513634723466735,0.8483517909129424
onnx-tta,zero,species,10,per_model,284,44470,40609,52788,1.0,0.8473047730749205,0.8706920843971752,0.8473047730749205,0.8452587628826029
onnx-tta,zero,species,10,common,271,43652,40062,52788,1.0,0.8516378052090512,0.8720227587774156,0.8516378052090512,0.8483119036118962
v2,zero,species,20,per_model,216,42698,37641,52788,1.0,0.8082495823011705,0.8625621889375423,0.8082495823011705,0.8168473325998341
v2,zero,species,20,common,208,42384,37437,52788,1.0,0.8136982479192534,0.8648542018939746,0.8136982479192534,0.8209483082438455
torch,zero,species,20,per_model,222,43361,38417,52788,1.0,0.8271275510654174,0.878086795953307,0.8271275510654174,0.8390189376702695
torch,zero,species,20,common,208,42384,37796,52788,1.0,0.8339089780399618,0.8827194680660193,0.8339089780399618,0.8454184870285211
onnx,zero,species,20,per_model,222,43361,38429,52788,1.0,0.8276292942912182,0.8782629747089122,0.8276292942912182,0.8392847349307754
onnx,zero,species,20,common,208,42384,37811,52788,1.0,0.8344444924444223,0.8825394050561279,0.8344444924444223,0.8455033297180401
torch-tta,zero,species,20,per_model,223,43375,39483,52788,1.0,0.8552687902032574,0.8920154706737624,0.8552687902032574,0.8618363751815306
torch-tta,zero,species,20,common,208,42384,38766,52788,1.0,0.859934317761158,0.8943362486856059,0.859934317761158,0.8655942697573593
onnx-tta,zero,species,20,per_model,223,43375,39484,52788,1.0,0.8552572257583305,0.8920297055771915,0.8552572257583305,0.8618121872907233
onnx-tta,zero,species,20,common,208,42384,38767,52788,1.0,0.8599219193418374,0.894351510144571,0.8599219193418374,0.8655683375475033
v2,zero,genus,0,per_model,319,52782,45642,52788,1.0,0.7968044107211967,0.6975226462533961,0.7968044107211967,0.6959574069830721
v2,zero,genus,0,common,317,52780,45639,52788,1.0,0.80183156788663,0.7019234200467929,0.80183156788663,0.7003483054498423
torch,zero,genus,0,per_model,319,52784,45349,52788,1.0,0.8128760350980341,0.7169693814982813,0.8128760350980341,0.7220190914539127
torch,zero,genus,0,common,317,52780,45344,52788,1.0,0.8180045905245201,0.721492847627608,0.8180045905245201,0.7265744169520447
onnx,zero,genus,0,per_model,320,52785,45352,52788,1.0,0.8103934792030048,0.71472382411519,0.8103934792030048,0.7198779438069757
onnx,zero,genus,0,common,317,52780,45346,52788,1.0,0.818062818122907,0.7214877719774788,0.818062818122907,0.726690668827231
torch-tta,zero,genus,0,per_model,320,52786,45977,52788,1.0,0.8364835445780064,0.7515734271797273,0.8364835445780064,0.7584406445360485
torch-tta,zero,genus,0,common,317,52780,45974,52788,1.0,0.8443997926339497,0.7586861094558761,0.8443997926339497,0.7656183162509008
onnx-tta,zero,genus,0,per_model,320,52786,45980,52788,1.0,0.836506364737312,0.7510970456076229,0.836506364737312,0.7581454918652479
onnx-tta,zero,genus,0,common,317,52780,45977,52788,1.0,0.844422828756908,0.7582052195408181,0.844422828756908,0.7653203703371588
v2,zero,genus,5,per_model,244,52582,44975,52788,1.0,0.8198886444355898,0.8176206331689666,0.8198886444355898,0.7926029899466804
v2,zero,genus,5,common,242,52567,44953,52788,1.0,0.8206876060779148,0.8201078560326222,0.8206876060779148,0.7941995832133609
torch,zero,genus,5,per_model,242,52567,44773,52788,1.0,0.8383310164872881,0.8166147950822779,0.8383310164872881,0.8056571781128056
torch,zero,genus,5,common,242,52567,44773,52788,1.0,0.8383310164872881,0.8166147950822779,0.8383310164872881,0.8056571781128056
onnx,zero,genus,5,per_model,242,52567,44776,52788,1.0,0.8384072898289766,0.8162946927109619,0.8384072898289766,0.8055261341500324
onnx,zero,genus,5,common,242,52567,44776,52788,1.0,0.8384072898289766,0.8162946927109619,0.8384072898289766,0.8055261341500324
torch-tta,zero,genus,5,per_model,243,52575,45481,52788,1.0,0.8642862537522121,0.8433344795518117,0.8642862537522121,0.8345738246636745
torch-tta,zero,genus,5,common,242,52567,45474,52788,1.0,0.8642419820735022,0.8426871013681415,0.8642419820735022,0.8341657275204114
onnx-tta,zero,genus,5,per_model,243,52575,45485,52788,1.0,0.8643163049908037,0.8430323470999015,0.8643163049908037,0.8343804242225075
onnx-tta,zero,genus,5,common,242,52567,45478,52788,1.0,0.8642721574907657,0.8423837204350251,0.8642721574907657,0.8339715279038676
v2,zero,genus,10,per_model,221,52377,44619,52788,1.0,0.8242091812881619,0.8349759270593797,0.8242091812881619,0.8073029077289685
v2,zero,genus,10,common,218,52338,44570,52788,1.0,0.8246759171734157,0.8375222344229503,0.8246759171734157,0.8087106982251911
torch,zero,genus,10,per_model,224,52409,44500,52788,1.0,0.8420595718087585,0.8360051629538205,0.8420595718087585,0.8201488914933474
torch,zero,genus,10,common,218,52338,44425,52788,1.0,0.8440854196075196,0.8391956132162521,0.8440854196075196,0.8223122767531698
onnx,zero,genus,10,per_model,224,52409,44504,52788,1.0,0.8421419742582609,0.8355105285467141,0.8421419742582609,0.8198882695930895
onnx,zero,genus,10,common,218,52338,44429,52788,1.0,0.8441700900143477,0.8386873650181246,0.8441700900143477,0.822044481773088
torch-tta,zero,genus,10,per_model,222,52384,45193,52788,1.0,0.8724264504229726,0.8640463448274117,0.8724264504229726,0.8517515085475369
torch-tta,zero,genus,10,common,218,52338,45144,52788,1.0,0.8724594243641395,0.8649085173552921,0.8724594243641395,0.8519555844726409
onnx-tta,zero,genus,10,per_model,222,52384,45198,52788,1.0,0.8724593443462958,0.8636328288870724,0.8724593443462958,0.8514582101275703
onnx-tta,zero,genus,10,common,218,52338,45149,52788,1.0,0.8724929218456889,0.864487413966506,0.8724929218456889,0.8516569044302899
v2,zero,genus,20,per_model,178,51193,43632,52788,1.0,0.8447796356264702,0.8683866368462851,0.8447796356264702,0.8409068314387458
v2,zero,genus,20,common,174,51091,43532,52788,1.0,0.8468431185140185,0.8700188865290815,0.8468431185140185,0.8425197107045042
torch,zero,genus,20,per_model,180,51668,43510,52788,1.0,0.851621812405513,0.8767852358251573,0.851621812405513,0.8500899477281387
torch,zero,genus,20,common,174,51091,43120,52788,1.0,0.8572846967941111,0.879992285140897,0.8572846967941111,0.8551335240737619
onnx,zero,genus,20,per_model,180,51668,43511,52788,1.0,0.8514718324234797,0.8766263792837025,0.8514718324234797,0.8499294903140181
onnx,zero,genus,20,common,174,51091,43120,52788,1.0,0.8569783049191699,0.8797840089758777,0.8569783049191699,0.8548933267800544
torch-tta,zero,genus,20,per_model,181,51690,44297,52788,1.0,0.8769067543097299,0.8943059399376526,0.8769067543097299,0.87295880197148
torch-tta,zero,genus,20,common,174,51091,43849,52788,1.0,0.8813164944712208,0.8965073033675035,0.8813164944712208,0.8765450108644934
onnx-tta,zero,genus,20,per_model,181,51690,44297,52788,1.0,0.8769470993427563,0.8939963574869481,0.8769470993427563,0.8728097609356607
onnx-tta,zero,genus,20,common,174,51091,43850,52788,1.0,0.8813584625802887,0.8961383784724689,0.8813584625802887,0.876352418020288
v2,zero,family,0,per_model,23,52788,52380,52788,1.0,0.8435038466784595,0.7265179495682207,0.8435038466784595,0.75042499174046
v2,zero,family,0,common,23,52788,52380,52788,1.0,0.8435038466784595,0.7265179495682207,0.8435038466784595,0.75042499174046
torch,zero,family,0,per_model,23,52788,52032,52788,1.0,0.8104767092433202,0.7182658553111946,0.8104767092433202,0.7317239969421455
