row_preset	column_preset	shared_species	jaccard_percent	row_coverage_percent
north_america	north_america	4425	100.000000	100.000000
north_america	central_america	1408	30.240550	31.819209
north_america	caribbean	648	13.926499	14.644068
north_america	south_america	839	16.476826	18.960452
north_america	arctic	2406	37.877834	54.372881
north_america	europe	356	5.026119	8.045198
north_america	north_europe	314	5.157687	7.096045
north_america	mediterranean	313	4.608363	7.073446
north_america	middle_east	98	1.894452	2.214689
north_america	africa	92	1.750048	2.079096
north_america	subsaharan_africa	84	1.635196	1.898305
north_america	asia	403	4.476286	9.107345
north_america	south_asia	80	1.356622	1.807910
north_america	southeast_asia	61	1.010603	1.378531
north_america	east_asia	376	4.601077	8.497175
north_america	japan	64	1.265322	1.446328
north_america	oceania	147	2.243932	3.322034
north_america	australia	89	1.433172	2.011299
north_america	tasmania	6	0.127850	0.135593
central_america	north_america	1408	30.240550	85.906040
central_america	central_america	1639	100.000000	100.000000
central_america	caribbean	721	40.189521	43.990238
central_america	south_america	1031	48.770104	62.904210
central_america	arctic	243	4.241578	14.826113
central_america	europe	29	0.627163	1.769372
central_america	north_europe	12	0.332963	0.732154
central_america	mediterranean	41	0.958392	2.501525
central_america	middle_east	29	1.180782	1.769372
central_america	africa	47	1.868045	2.867602
central_america	subsaharan_africa	46	1.925492	2.806589
central_america	asia	52	0.791717	3.172666
central_america	south_asia	32	1.012979	1.952410
central_america	southeast_asia	26	0.791476	1.586333
central_america	east_asia	40	0.699056	2.440513
central_america	japan	15	0.646273	0.915192
central_america	oceania	58	1.504930	3.538743
central_america	australia	34	0.977292	2.074436
central_america	tasmania	1	0.052301	0.061013
caribbean	north_america	648	13.926499	73.972603
caribbean	central_america	721	40.189521	82.305936
caribbean	caribbean	876	100.000000	100.000000
caribbean	south_america	781	48.782011	89.155251
caribbean	arctic	54	1.047527	6.164384
caribbean	europe	9	0.231899	1.027397
caribbean	north_europe	2	0.070151	0.228311
caribbean	mediterranean	18	0.508762	2.054795
caribbean	middle_east	16	0.937866	1.826484
caribbean	africa	34	1.925255	3.881279
